 ID,Company,Product,Issue,State,Submitted via,Date received,Date resolved,Timely response?,Consumer disputed?,state name,Date received.1,Date resolved.1,Resolution time(in days),Year,QTR (US FLY),Consumer disputed
1615767,PHH Mortgage,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",FL,Web,10/20/2015,10/20/2015,Yes,No,Florida,10/20/2015,10/20/2015,0,2015,Q4,0
654223,Ocwen,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",NC,Web,3/1/2014,3/1/2014,Yes,No,North Carolina,1/3/2014,1/3/2014,0,2014,Q1,0
1143398,"Southwest Credit Systems, L.P.",Cobrança de Dívidas,"Modificação de empréstimo, cobrança, execução hipotecária",MO,Web,4/12/2014,4/12/2014,Yes,No,Missouri,12/4/2014,12/4/2014,0,2014,Q4,0
1303679,"Continental Finance Company, LLC",Cartão de Crédito,Fatura,WA,Web,03/26/2015,03/26/2015,Yes,No,Washington,3/26/2015,3/26/2015,0,2015,Q1,0
1627370,Experian,Relatório de Crédito,Incapaz de obter relatório de crédito/score,VA,Web,10/27/2015,10/27/2015,Yes,No,Virginia,10/27/2015,10/27/2015,0,2015,Q4,0
1390231,Encore Capital Group,Cobrança de Dívidas,Declarações ou representações falsas,IL,Web,05/23/2015,05/23/2015,Yes,No,Illinois,5/23/2015,5/23/2015,0,2015,Q2,0
1946542,Regions Financial Corporation,Empréstimo Imobiliário,"Aplicação, originador, corretor hipotecário",FL,Web,05/30/2016,05/31/2016,Yes,No,Florida,5/30/2016,5/31/2016,1,2016,Q2,0
1414270,AES/PHEAA,Empréstimo Estudantil,Lidando com meu credor ou agente,OK,Web,10/6/2015,10/6/2015,Yes,No,Oklahoma,6/10/2015,6/10/2015,0,2015,Q2,0
310830,JPMorgan Chase & Co.,Cartão de Crédito,Relatório de crédito,CA,Web,8/2/2013,8/2/2013,Yes,No,California,2/8/2013,2/8/2013,0,2013,Q1,0
1734499,Equifax,Relatório de Crédito,Investigação da empresa de relatório de crédito,CA,Web,8/1/2016,8/1/2016,Yes,No,California,1/8/2016,1/8/2016,0,2016,Q1,0
1744309,JPMorgan Chase & Co.,Conta Bancária ou Serviço Bancário,Depósitos e saques,AZ,Email,01/15/2016,01/20/2016,Yes,No,Arizona,1/15/2016,1/20/2016,5,2016,Q1,0
1154103,Bank of America,Cartão de Crédito,Recompensas,MO,Web,12/12/2014,12/12/2014,Yes,No,Missouri,12/12/2014,12/12/2014,0,2014,Q4,0
581301,Stellar Recovery Inc.,Cobrança de Dívidas,"Modificação de empréstimo, cobrança, execução hipotecária",NY,Email,1/11/2013,1/11/2013,Yes,Yes,New York,11/1/2013,11/1/2013,0,2013,Q4,1
1577224,"LDF Holdings, LLC",Empréstimo Consignado,Cobranças ou juros inesperados,MD,Web,09/23/2015,10/22/2015,Yes,No,Maryland,9/23/2015,10/22/2015,29,2015,Q3,0
1631370,"Carrington Mortgage Holdings, LLC.",Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",FL,Web,10/29/2015,10/29/2015,Yes,No,Florida,10/29/2015,10/29/2015,0,2015,Q4,0
1994209,Citibank,Conta Bancária ou Serviço Bancário,"Abertura, fechamento ou gerenciamento de conta",MO,Web,06/30/2016,06/30/2016,Yes,No,Missouri,6/30/2016,6/30/2016,0,2016,Q2,0
2152909,"Selip & Stylianou, LLP",Cobrança de Dívidas,Tomada ou ameaça de ação ilegal,NY,Web,9/10/2016,9/10/2016,Yes,Yes,New York,10/9/2016,10/9/2016,0,2016,Q4,1
465476,Capital One,Conta Bancária ou Serviço Bancário,"Abertura, fechamento ou gerenciamento de conta",AK,Web,07/24/2013,07/26/2013,Yes,No,Alaska,7/24/2013,7/26/2013,2,2013,Q3,0
2055350,"TransUnion Intermediate Holdings, Inc.",Relatório de Crédito,Investigação da empresa de relatório de crédito,NC,Web,11/8/2016,11/8/2016,Yes,No,North Carolina,8/11/2016,8/11/2016,0,2016,Q3,0
382848,Nationstar Mortgage,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",CA,Web,04/15/2013,06/19/2013,Yes,No,California,4/15/2013,6/19/2013,65,2013,Q2,0
1204170,Citibank,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",NJ,Email,01/22/2015,01/27/2015,Yes,No,New Jersey,1/22/2015,1/27/2015,5,2015,Q1,0
1774653,Wells Fargo & Company,Empréstimo Imobiliário,"Serviço do empréstimo, pagamentos, conta garantia (escrow)",TX,Postal mail,5/2/2016,5/2/2016,Yes,No,Texas,2/5/2016,2/5/2016,0,2016,Q1,0
2079223,U.S. Bancorp,Conta Bancária ou Serviço Bancário,"Fazendo/recebendo pagamentos, enviando dinheiro",CA,Web,08/25/2016,08/25/2016,Yes,No,California,8/25/2016,8/25/2016,0,2016,Q3,0
656295,Bank of America,Conta Bancária ou Serviço Bancário,Problemas causados por fundos insuficientes,GA,Web,6/1/2014,6/1/2014,Yes,No,Georgia,1/6/2014,1/6/2014,0,2014,Q1,0
1983337,Barclays PLC,Cobrança de Dívidas,"Modificação de empréstimo, cobrança, execução hipotecária",CA,Email,06/23/2016,06/27/2016,Yes,No,California,6/23/2016,6/27/2016,4,2016,Q2,0
2033162,"Citizens Financial Group, Inc.",Conta Bancária ou Serviço Bancário,Depósitos e saques,MA,Phone,07/27/2016,07/27/2016,Yes,No,Massachusetts,7/27/2016,7/27/2016,0,2016,Q3,0
223088,Bank of America,Conta Bancária ou Serviço Bancário,"Abertura, fechamento ou gerenciamento de conta",CT,Email,4/1/2013,7/1/2013,Yes,No,Connecticut,1/4/2013,1/7/2013,3,2013,Q1,0
1072492,Capital One,Cartão de Crédito,Conta inadimplente,TX,Web,10/15/2014,10/15/2014,Yes,No,Texas,10/15/2014,10/15/2014,0,2014,Q4,0
348693,Equifax,Relatório de Crédito,Investigação da empresa de relatório de crédito,TX,Web,11/3/2013,11/3/2013,Yes,Yes,Texas,3/11/2013,3/11/2013,0,2013,Q1,1
1472565,Bank of America,Conta Bancária ou Serviço Bancário,"Abertura, fechamento ou gerenciamento de conta",NV,Email,07/16/2015,07/20/2015,Yes,No,Nevada,7/16/2015,7/20/2015,4,2015,Q3,0
1656259,Capital One,Cartão de Crédito,Roubo de identidade / Fraude / Desfalque,NY,Web,11/16/2015,11/16/2015,Yes,No,New York,11/16/2015,11/16/2015,0,2015,Q4,0
1814311,USAA Savings,Conta Bancária ou Serviço Bancário,"Abertura, fechamento ou gerenciamento de conta",FL,Email,2/3/2016,4/3/2016,Yes,No,Florida,3/2/2016,3/4/2016,2,2016,Q1,0
764305,USAA Savings,Conta Bancária ou Serviço Bancário,Depósitos e saques,WA,Email,03/18/2014,03/21/2014,Yes,No,Washington,3/18/2014,3/21/2014,3,2014,Q1,0
